Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,922.530029,924.668030,918.190002,922.669983,922.669983,1064500
2017-08-15,924.229980,926.549988,919.820007,922.219971,922.219971,883400
2017-08-16,925.289978,932.700012,923.445007,926.960022,926.960022,1006700
2017-08-17,925.780029,926.859985,910.979980,910.979980,910.979980,1277200
2017-08-18,910.309998,915.275024,907.153992,910.669983,910.669983,1342700
2017-08-21,910.000000,913.000000,903.400024,906.659973,906.659973,943400
2017-08-22,912.719971,925.859985,911.474976,924.690002,924.690002,1166700
2017-08-23,921.929993,929.929993,919.359985,927.000000,927.000000,1090200
2017-08-24,928.659973,930.840027,915.500000,921.280029,921.280029,1270300
2017-08-25,923.489990,925.554993,915.500000,915.890015,915.890015,1053400
2017-08-28,916.000000,919.244995,911.869995,913.809998,913.809998,1086500
2017-08-29,905.099976,923.330017,905.000000,921.289978,921.289978,1185600
2017-08-30,920.049988,930.818970,919.650024,929.570007,929.570007,1301200
2017-08-31,931.760010,941.979980,931.760010,939.330017,939.330017,1582600
2017-09-01,941.130005,942.479980,935.150024,937.340027,937.340027,947400
2017-09-05,933.080017,937.000000,921.960022,928.450012,928.450012,1326400
2017-09-06,930.150024,930.914978,919.270020,927.809998,927.809998,1527700
2017-09-07,931.729980,936.409973,923.619995,935.950012,935.950012,1212700
2017-09-08,936.489990,936.989990,924.880005,926.500000,926.500000,1011500
2017-09-11,934.250000,938.380005,926.919983,929.080017,929.080017,1267000
2017-09-12,932.590027,933.479980,923.861023,932.070007,932.070007,1134400
2017-09-13,930.659973,937.250000,929.859985,935.090027,935.090027,1102600
2017-09-14,931.250000,932.770020,924.000000,925.109985,925.109985,1397600
2017-09-15,924.659973,926.489990,916.359985,920.289978,920.289978,2505400
2017-09-18,920.010010,922.080017,910.599976,915.000000,915.000000,1306900
2017-09-19,917.419983,922.419983,912.549988,921.809998,921.809998,936700
2017-09-20,922.979980,933.880005,922.000000,931.580017,931.580017,1669800
2017-09-21,933.000000,936.530029,923.830017,932.450012,932.450012,1290600
2017-09-22,927.750000,934.729980,926.479980,928.530029,928.530029,1052700
2017-09-25,925.450012,926.400024,909.700012,920.969971,920.969971,1856800
2017-09-26,923.719971,930.820007,921.140015,924.859985,924.859985,1666900
2017-09-27,927.739990,949.900024,927.739990,944.489990,944.489990,2239400
2017-09-28,941.359985,950.690002,940.549988,949.500000,949.500000,1020300
2017-09-29,952.000000,959.786011,951.510010,959.109985,959.109985,1581000
2017-10-02,959.979980,962.539978,947.840027,953.270020,953.270020,1283400
2017-10-03,954.000000,958.000000,949.140015,957.789978,957.789978,888300
2017-10-04,957.000000,960.390015,950.690002,951.679993,951.679993,952400
2017-10-05,955.489990,970.909973,955.179993,969.960022,969.960022,1213800
2017-10-06,966.700012,979.460022,963.359985,978.890015,978.890015,1173900
2017-10-09,980.000000,985.424988,976.109985,977.000000,977.000000,891400
2017-10-10,980.000000,981.570007,966.080017,972.599976,972.599976,968400
2017-10-11,973.719971,990.710022,972.250000,989.250000,989.250000,1693300
2017-10-12,987.450012,994.119995,985.000000,987.830017,987.830017,1262400
2017-10-13,992.000000,997.210022,989.000000,989.679993,989.679993,1169800
2017-10-16,992.099976,993.906982,984.000000,992.000000,992.000000,910500
2017-10-17,990.289978,996.440002,988.590027,992.179993,992.179993,1290200
2017-10-18,991.770020,996.719971,986.974976,992.809998,992.809998,1057600
2017-10-19,986.000000,988.880005,978.390015,984.450012,984.450012,1313600
2017-10-20,989.440002,991.000000,984.580017,988.200012,988.200012,1183200
2017-10-23,989.520020,989.520020,966.119995,968.450012,968.450012,1478400
2017-10-24,970.000000,972.229980,961.000000,970.539978,970.539978,1212200
2017-10-25,968.369995,976.090027,960.520020,973.330017,973.330017,1211300
