Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,107.510002,107.660004,107.250000,107.470001,101.497200,1820300
2015-11-27,107.589996,107.760002,107.220001,107.629997,101.648300,552400
2015-11-30,107.779999,107.849998,107.110001,107.169998,101.213867,3618100
2015-12-01,107.589996,108.209999,107.370003,108.180000,102.167740,2443600
2015-12-02,108.099998,108.269997,106.879997,107.050003,101.100533,2937200
2015-12-03,107.290001,107.480003,105.059998,105.449997,99.589470,3345600
2015-12-04,105.809998,107.540001,105.620003,107.389999,101.421646,4520000
2015-12-07,107.230003,107.269997,106.059998,106.550003,100.628342,3000500
2015-12-08,105.940002,106.400002,105.269997,105.910004,100.023895,3149600
2015-12-09,105.550003,106.750000,104.480003,105.000000,99.164467,4179800
2015-12-10,105.180000,106.059998,104.919998,105.309998,99.457237,3684900
2015-12-11,104.169998,104.430000,103.070000,103.239998,97.502281,5100700
2015-12-14,103.360001,103.720001,102.180000,103.610001,97.851723,7216200
2015-12-15,104.440002,105.190002,104.360001,104.720001,98.900040,2918000
2015-12-16,105.459999,106.419998,104.699997,106.239998,100.335548,5972400
2015-12-17,106.440002,106.470001,104.680000,104.680000,98.862267,4939900
2015-12-18,104.169998,104.360001,102.900002,102.900002,97.181190,4207700
2015-12-21,103.190002,103.279999,102.370003,103.129997,97.953384,3240700
2015-12-22,103.650002,104.260002,103.040001,104.059998,98.836693,2875300
2015-12-23,104.629997,105.400002,104.510002,105.360001,100.071442,3342300
2015-12-24,105.220001,105.599998,105.080002,105.230003,99.947960,1460500
2015-12-28,104.879997,105.000000,104.320000,105.000000,99.729507,3479600
2015-12-29,105.690002,106.239998,105.540001,106.120003,100.793304,2508300
2015-12-30,105.959999,106.000000,105.250000,105.320000,100.033447,2405900
2015-12-31,104.930000,105.320000,104.300003,104.300003,99.064644,3652200
2016-01-04,102.580002,102.949997,101.580002,102.739998,97.582962,6138300
2016-01-05,102.900002,103.180000,102.300003,102.970001,97.801407,3652300
2016-01-06,101.529999,102.230003,100.949997,101.589996,96.490685,3732800
2016-01-07,99.900002,100.800003,98.870003,99.099998,94.125671,9256200
2016-01-08,99.610001,99.989998,97.779999,97.970001,93.052376,7015800
2016-01-11,98.550003,98.669998,96.779999,97.910004,92.995392,6862800
2016-01-12,98.800003,99.169998,97.279999,98.580002,93.631760,4457300
2016-01-13,99.000000,99.199997,95.779999,96.040001,91.219261,6163000
2016-01-14,96.360001,98.180000,95.330002,97.510002,92.615463,5085100
